date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-06-14,59.73,0.68,2023-06-14 18:30:00,83.26,0.2,2023-06-14 17:30:00,91.29,0.1,2023-06-14 18:30:00,91
2023-06-15,27.73,2.62,2023-06-15 18:30:00,56.69,0.77,2023-06-15 17:45:00,72.62,0.38,2023-06-15 16:45:00,91
2023-06-16,77.73,0.29,2023-06-16 07:45:00,88.72,0.13,2023-06-16 07:00:00,94.53,0.06,2023-06-16 07:00:00,91
2023-06-17,96.73,0.03,2023-06-17 14:00:00,102.31,-0.02,2023-06-17 13:00:00,102.99,-0.03,2023-06-17 14:00:00,91
2023-06-18,82.59,0.21,2023-06-18 18:15:00,91.57,0.09,2023-06-18 17:45:00,95.67,0.05,2023-06-18 17:00:00,91
2023-06-19,98.83,0.01,2023-06-19 10:15:00,101.34,-0.01,2023-06-19 22:00:00,104.11,-0.04,2023-06-19 08:15:00,91
2023-06-20,100.0,0.0,2023-06-20 23:00:00,100.0,-0.0,2023-06-20 00:15:00,100.0,-0.0,2023-06-20 00:30:00,91
2023-06-21,100.0,0.0,2023-06-21 00:00:00,100.0,-0.0,2023-06-21 00:00:00,100.0,-0.0,2023-06-21 00:15:00,91
2023-06-22,90.27,0.11,2023-06-22 08:15:00,91.86,0.09,2023-06-22 07:45:00,92.58,0.08,2023-06-22 07:15:00,91
2023-06-23,80.16,0.25,2023-06-23 10:45:00,90.29,0.11,2023-06-23 10:45:00,95.48,0.05,2023-06-23 10:30:00,91
2023-06-24,100.63,-0.01,2023-06-24 20:45:00,103.04,-0.03,2023-06-24 20:00:00,103.9,-0.04,2023-06-24 21:00:00,91
2023-06-25,47.02,1.13,2023-06-25 18:45:00,72.27,0.39,2023-06-25 18:30:00,83.86,0.19,2023-06-25 17:45:00,91
2023-06-26,102.6,-0.03,2023-06-26 08:45:00,104.15,-0.04,2023-06-26 11:45:00,104.31,-0.04,2023-06-26 12:00:00,91
2023-06-27,98.24,0.02,2023-06-27 11:45:00,102.56,-0.03,2023-06-27 10:45:00,102.85,-0.03,2023-06-27 09:45:00,91
2023-06-28,101.05,-0.01,2023-06-28 08:30:00,102.68,-0.03,2023-06-28 07:45:00,103.38,-0.03,2023-06-28 08:15:00,91
2023-06-29,99.92,0.0,2023-06-29 07:00:00,100.84,-0.01,2023-06-29 07:15:00,101.72,-0.02,2023-06-29 07:30:00,91
2023-06-30,104.11,-0.04,2023-06-30 10:30:00,104.91,-0.05,2023-06-30 08:00:00,104.95,-0.05,2023-06-30 08:15:00,91
2023-07-01,92.7,0.08,2023-07-01 10:00:00,93.98,0.06,2023-07-01 09:45:00,97.47,0.03,2023-07-01 09:45:00,91
2023-07-02,105.45,-0.05,2023-07-02 21:15:00,106.17,-0.06,2023-07-02 21:15:00,106.59,-0.06,2023-07-02 19:45:00,91
2023-07-03,103.1,-0.03,2023-07-03 10:15:00,103.23,-0.03,2023-07-03 10:15:00,103.76,-0.04,2023-07-03 09:30:00,91
