date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-04-02,66.15,0.52,2023-04-02 23:00:00,89.24,0.12,2023-04-02 22:00:00,96.63,0.04,2023-04-02 21:00:00,97
2023-04-03,21.85,3.6,2023-04-03 16:30:00,22.82,3.41,2023-04-03 16:30:00,24.51,3.1,2023-04-03 16:30:00,97
2023-04-04,16.86,4.96,2023-04-04 17:00:00,19.57,4.14,2023-04-04 17:00:00,20.6,3.88,2023-04-04 17:00:00,97
2023-04-05,11.95,7.41,2023-04-05 12:45:00,16.32,5.16,2023-04-05 16:00:00,18.13,4.54,2023-04-05 16:15:00,97
2023-04-06,15.18,5.62,2023-04-06 18:30:00,16.63,5.05,2023-04-06 17:30:00,17.87,4.63,2023-04-06 16:30:00,97
2023-04-07,16.36,5.15,2023-04-07 17:15:00,17.6,4.71,2023-04-07 16:15:00,17.94,4.61,2023-04-07 15:15:00,97
2023-04-08,34.4,1.92,2023-04-08 11:30:00,53.17,0.89,2023-04-08 10:45:00,63.14,0.59,2023-04-08 17:00:00,97
2023-04-09,26.34,2.81,2023-04-09 11:30:00,28.06,2.58,2023-04-09 11:15:00,54.35,0.85,2023-04-09 10:30:00,97
2023-04-10,102.81,-0.03,2023-04-10 19:30:00,105.7,-0.05,2023-04-10 18:30:00,106.64,-0.06,2023-04-10 18:15:00,97
2023-04-11,18.83,4.34,2023-04-11 17:15:00,18.96,4.3,2023-04-11 16:15:00,20.71,3.85,2023-04-11 16:00:00,97
2023-04-12,17.83,4.64,2023-04-12 16:45:00,20.2,3.98,2023-04-12 16:00:00,20.05,4.01,2023-04-12 14:45:00,97
2023-04-13,21.77,3.62,2023-04-13 17:30:00,22.32,3.5,2023-04-13 16:30:00,23.34,3.31,2023-04-13 16:15:00,97
2023-04-14,11.62,7.66,2023-04-14 15:30:00,13.93,6.22,2023-04-14 14:30:00,14.56,5.91,2023-04-14 15:30:00,97
2023-04-15,35.15,1.86,2023-04-15 20:00:00,37.67,1.67,2023-04-15 19:00:00,51.71,0.94,2023-04-15 18:00:00,97
2023-04-16,37.58,1.67,2023-04-16 17:15:00,52.18,0.92,2023-04-16 17:15:00,58.17,0.72,2023-04-16 17:15:00,97
2023-04-17,25.04,3.01,2023-04-17 17:00:00,28.17,2.57,2023-04-17 16:45:00,30.03,2.35,2023-04-17 15:45:00,97
2023-04-18,19.25,4.22,2023-04-18 17:00:00,21.48,3.68,2023-04-18 17:00:00,22.83,3.4,2023-04-18 16:15:00,97
2023-04-19,17.2,4.85,2023-04-19 16:15:00,19.42,4.18,2023-04-19 15:45:00,22.46,3.48,2023-04-19 15:45:00,97
2023-04-20,16.02,5.28,2023-04-20 16:15:00,17.41,4.78,2023-04-20 15:45:00,18.43,4.46,2023-04-20 15:30:00,97
2023-04-21,20.64,3.87,2023-04-21 15:30:00,23.43,3.29,2023-04-21 14:30:00,25.15,3.0,2023-04-21 14:30:00,97
2023-04-22,29.49,2.41,2023-04-22 12:00:00,30.49,2.29,2023-04-22 10:45:00,31.25,2.21,2023-04-22 10:15:00,97
2023-04-23,40.06,1.51,2023-04-23 11:30:00,48.72,1.06,2023-04-23 14:00:00,51.16,0.96,2023-04-23 13:30:00,97
2023-04-24,21.6,3.65,2023-04-24 18:15:00,26.97,2.73,2023-04-24 17:30:00,30.58,2.29,2023-04-24 16:45:00,97
2023-04-25,21.43,3.69,2023-04-25 17:15:00,23.47,3.28,2023-04-25 16:30:00,26.89,2.74,2023-04-25 16:00:00,97
2023-04-26,21.27,3.73,2023-04-26 16:30:00,21.98,3.57,2023-04-26 15:45:00,22.15,3.54,2023-04-26 15:45:00,97
2023-04-27,15.56,5.46,2023-04-27 16:45:00,17.64,4.7,2023-04-27 16:00:00,21.41,3.7,2023-04-27 16:45:00,97
2023-04-28,13.0,6.74,2023-04-28 16:15:00,13.59,6.4,2023-04-28 15:00:00,15.25,5.59,2023-04-28 15:00:00,97
2023-04-29,28.69,2.5,2023-04-29 11:15:00,30.89,2.25,2023-04-29 16:30:00,36.37,1.76,2023-04-29 15:45:00,97
2023-04-30,30.08,2.34,2023-04-30 19:30:00,31.61,2.18,2023-04-30 18:30:00,34.73,1.89,2023-04-30 17:30:00,97
2023-05-01,107.01,-0.07,2023-05-01 14:15:00,109.4,-0.09,2023-05-01 14:15:00,111.9,-0.11,2023-05-01 13:45:00,97
2023-05-02,23.36,3.3,2023-05-02 16:45:00,24.54,3.1,2023-05-02 16:45:00,26.41,2.8,2023-05-02 16:30:00,97
2023-05-03,22.99,3.37,2023-05-03 18:15:00,23.66,3.25,2023-05-03 17:15:00,24.33,3.13,2023-05-03 17:15:00,97
2023-05-04,19.09,4.27,2023-05-04 19:00:00,20.41,3.93,2023-05-04 18:00:00,21.9,3.59,2023-05-04 17:15:00,97
2023-05-05,15.9,5.33,2023-05-05 18:30:00,17.32,4.8,2023-05-05 17:30:00,18.04,4.57,2023-05-05 15:45:00,97
2023-05-06,18.29,4.5,2023-05-06 14:45:00,18.92,4.31,2023-05-06 13:45:00,19.83,4.07,2023-05-06 13:30:00,97
2023-05-07,21.1,3.76,2023-05-07 18:00:00,25.0,3.02,2023-05-07 17:00:00,25.91,2.88,2023-05-07 16:00:00,97
2023-05-08,66.19,0.51,2023-05-08 19:15:00,69.55,0.44,2023-05-08 18:15:00,78.82,0.27,2023-05-08 17:30:00,97
2023-05-09,17.91,4.61,2023-05-09 15:15:00,19.13,4.26,2023-05-09 16:45:00,19.77,4.09,2023-05-09 15:45:00,97
2023-05-10,15.31,5.57,2023-05-10 16:30:00,17.05,4.9,2023-05-10 15:45:00,19.56,4.14,2023-05-10 15:15:00,97
2023-05-11,14.05,6.16,2023-05-11 17:00:00,18.27,4.5,2023-05-11 16:45:00,19.8,4.08,2023-05-11 16:00:00,97
2023-05-12,19.84,4.07,2023-05-12 16:30:00,22.73,3.42,2023-05-12 15:45:00,25.06,3.01,2023-05-12 14:45:00,97
2023-05-13,34.35,1.92,2023-05-13 13:30:00,42.2,1.38,2023-05-13 13:15:00,55.72,0.8,2023-05-13 12:15:00,97
2023-05-14,54.24,0.85,2023-05-14 18:30:00,72.19,0.39,2023-05-14 17:30:00,78.75,0.27,2023-05-14 11:15:00,97
2023-05-15,17.62,4.71,2023-05-15 17:15:00,20.55,3.89,2023-05-15 17:00:00,21.77,3.62,2023-05-15 16:45:00,97
2023-05-16,21.85,3.6,2023-05-16 17:15:00,23.15,3.34,2023-05-16 17:15:00,24.29,3.14,2023-05-16 17:00:00,97
2023-05-17,12.96,6.76,2023-05-17 14:15:00,14.51,5.93,2023-05-17 13:15:00,15.7,5.4,2023-05-17 12:30:00,97
2023-05-18,39.97,1.51,2023-05-18 10:15:00,61.05,0.64,2023-05-18 10:15:00,60.79,0.65,2023-05-18 10:00:00,97
2023-05-19,32.8,2.06,2023-05-19 11:30:00,46.62,1.15,2023-05-19 10:30:00,50.64,0.98,2023-05-19 09:45:00,97
2023-05-20,55.58,0.8,2023-05-20 18:00:00,70.36,0.42,2023-05-20 18:00:00,66.89,0.5,2023-05-20 18:00:00,97
2023-05-21,53.44,0.88,2023-05-21 14:45:00,65.67,0.53,2023-05-21 14:15:00,66.25,0.51,2023-05-21 14:15:00,97
2023-05-22,16.28,5.18,2023-05-22 08:30:00,23.03,3.36,2023-05-22 08:30:00,27.45,2.66,2023-05-22 16:15:00,97
2023-05-23,16.15,5.23,2023-05-23 17:45:00,17.79,4.65,2023-05-23 16:45:00,20.09,4.0,2023-05-23 16:00:00,97
2023-05-24,17.87,4.63,2023-05-24 18:15:00,21.48,3.68,2023-05-24 16:45:00,21.48,3.68,2023-05-24 16:30:00,97
2023-05-25,10.99,8.15,2023-05-25 16:30:00,17.05,4.9,2023-05-25 15:30:00,18.27,4.5,2023-05-25 15:45:00,97
2023-05-26,20.85,3.82,2023-05-26 16:30:00,22.15,3.54,2023-05-26 15:45:00,23.04,3.36,2023-05-26 15:45:00,97
2023-05-27,18.92,4.31,2023-05-27 18:15:00,24.66,3.07,2023-05-27 10:30:00,28.2,2.56,2023-05-27 10:30:00,97
2023-05-28,34.48,1.91,2023-05-28 11:45:00,51.13,0.96,2023-05-28 18:45:00,51.58,0.95,2023-05-28 18:00:00,97
2023-05-29,50.46,0.99,2023-05-29 15:00:00,76.49,0.31,2023-05-29 18:45:00,81.99,0.22,2023-05-29 17:45:00,97
2023-05-30,19.09,4.27,2023-05-30 18:30:00,20.45,3.92,2023-05-30 17:30:00,22.5,3.47,2023-05-30 16:15:00,97
2023-05-31,17.7,4.68,2023-05-31 17:00:00,18.29,4.5,2023-05-31 16:00:00,19.1,4.26,2023-05-31 15:00:00,97
2023-06-01,15.44,5.52,2023-06-01 18:30:00,19.09,4.27,2023-06-01 18:30:00,21.09,3.77,2023-06-01 17:30:00,97
